,ID,concept:name,Status
0,0,"['determine  application', 'department processes application', 'process responses of views', 'title administrative advice check', 'schedule  site  inspection']",Anomalous
1,1,"['determine  application', 'department processes application', 'schedule  site  inspection', 'process responses of views', 'determine land action plan compromise granting of a tenure', 'application  investigation  process']",Anomalous
2,2,"['determine  application', 'seek views through official notification', 'process responses of views', 'schedule  site  inspection']",Normal
3,3,"['determine  application', 'seek views through official notification', 'schedule  site  inspection', 'process responses of views']",Normal
4,4,"['application  investigation  process', 'title administrative advice check', 'native  title  check', 'determine land action plan compromise granting of a tenure', 'schedule  site  inspection', 'parcel check', 'seek views through official notification', 'land valuation check', 'survey plan registration check', 'notify customer']",Anomalous
5,5,"['application  investigation  process', 'title administrative advice check', 'native  title  check', 'determine land action plan compromise granting of a tenure', 'parcel check', 'survey plan registration check', 'land valuation check', 'notify customer']",Normal
6,6,"['application  investigation  process', 'title administrative advice check', 'native  title  check', 'determine land action plan compromise granting of a tenure', 'land valuation check', 'parcel check', 'survey plan registration check', 'notify customer']",Normal
7,7,"['application  investigation  process', 'title administrative advice check', 'native  title  check', 'determine land action plan compromise granting of a tenure', 'land valuation check', 'survey plan registration check', 'parcel check', 'notify customer']",Normal
8,8,"['application  investigation  process', 'title administrative advice check', 'native  title  check', 'determine land action plan compromise granting of a tenure', 'survey plan registration check', 'parcel check', 'land valuation check', 'notify customer']",Normal
9,9,"['application  investigation  process', 'title administrative advice check', 'native  title  check', 'determine land action plan compromise granting of a tenure', 'survey plan registration check', 'land valuation check', 'parcel check', 'notify customer']",Normal
10,10,"['application  investigation  process', 'title administrative advice check', 'native  title  check', 'parcel check', 'determine land action plan compromise granting of a tenure', 'title administrative advice check', 'land valuation check', 'survey plan registration check', 'notify customer', 'determine land action plan compromise granting of a tenure']",Anomalous
11,11,"['application  investigation  process', 'title administrative advice check', 'native  title  check', 'parcel check', 'determine land action plan compromise granting of a tenure', 'survey plan registration check', 'land valuation check', 'notify customer']",Normal
12,12,"['application  investigation  process', 'native  title  check', 'title administrative advice check', 'native  title  check', 'parcel check', 'land valuation check', 'determine land action plan compromise granting of a tenure', 'survey plan registration check', 'notify customer']",Anomalous
13,13,"['application  investigation  process', 'title administrative advice check', 'native  title  check', 'parcel check', 'land valuation check', 'survey plan registration check', 'determine land action plan compromise granting of a tenure', 'notify customer']",Normal
14,14,"['application  investigation  process', 'title administrative advice check', 'survey plan registration check', 'notify customer', 'native  title  check', 'parcel check', 'survey plan registration check', 'determine land action plan compromise granting of a tenure', 'land valuation check', 'notify customer']",Anomalous
15,15,"['application  investigation  process', 'title administrative advice check', 'native  title  check', 'parcel check', 'survey plan registration check', 'land valuation check', 'determine land action plan compromise granting of a tenure', 'notify customer']",Normal
16,16,"['application  investigation  process', 'title administrative advice check', 'native  title  check', 'land valuation check', 'determine land action plan compromise granting of a tenure', 'parcel check', 'parcel check', 'survey plan registration check', 'notify customer']",Anomalous
17,17,"['application  investigation  process', 'title administrative advice check', 'native  title  check', 'land valuation check', 'determine land action plan compromise granting of a tenure', 'survey plan registration check', 'parcel check', 'notify customer']",Normal
18,18,"['application  investigation  process', 'title administrative advice check', 'native  title  check', 'land valuation check', 'determine land action plan compromise granting of a tenure', 'parcel check', 'determine land action plan compromise granting of a tenure', 'survey plan registration check', 'notify customer']",Anomalous
19,19,"['application  investigation  process', 'title administrative advice check', 'native  title  check', 'land valuation check', 'parcel check', 'survey plan registration check', 'determine land action plan compromise granting of a tenure', 'notify customer']",Normal
20,20,"['application  investigation  process', 'title administrative advice check', 'native  title  check', 'determine  application', 'land valuation check', 'survey plan registration check', 'parcel check', 'determine land action plan compromise granting of a tenure', 'notify customer']",Anomalous
21,21,"['application  investigation  process', 'title administrative advice check', 'native  title  check', 'land valuation check', 'survey plan registration check', 'determine land action plan compromise granting of a tenure', 'parcel check', 'notify customer']",Normal
22,22,"['application  investigation  process', 'title administrative advice check', 'determine land action plan compromise granting of a tenure', 'native  title  check', 'survey plan registration check', 'determine land action plan compromise granting of a tenure', 'determine land action plan compromise granting of a tenure', 'parcel check', 'land valuation check', 'notify customer']",Anomalous
23,23,"['application  investigation  process', 'title administrative advice check', 'native  title  check', 'survey plan registration check', 'seek views through official notification', 'determine land action plan compromise granting of a tenure', 'land valuation check', 'parcel check', 'notify customer']",Anomalous
24,24,"['application  investigation  process', 'title administrative advice check', 'title administrative advice check', 'parcel check', 'native  title  check', 'survey plan registration check', 'parcel check', 'determine land action plan compromise granting of a tenure', 'land valuation check', 'notify customer']",Anomalous
25,25,"['application  investigation  process', 'title administrative advice check', 'schedule  site  inspection', 'native  title  check', 'survey plan registration check', 'survey plan registration check', 'parcel check', 'land valuation check', 'determine land action plan compromise granting of a tenure', 'notify customer', 'notify customer']",Anomalous
26,26,"['application  investigation  process', 'title administrative advice check', 'native  title  check', 'survey plan registration check', 'land valuation check', 'parcel check', 'notify customer', 'determine land action plan compromise granting of a tenure', 'notify customer']",Anomalous
27,27,"['application  investigation  process', 'title administrative advice check', 'native  title  check', 'survey plan registration check', 'land valuation check', 'determine land action plan compromise granting of a tenure', 'notify customer', 'native  title  check', 'parcel check', 'notify customer']",Anomalous
28,28,"['application  investigation  process', 'parcel check', 'title administrative advice check', 'determine land action plan compromise granting of a tenure', 'parcel check', 'land valuation check', 'survey plan registration check', 'native  title  check', 'notify customer', 'land valuation check']",Anomalous
29,29,"['application  investigation  process', 'title administrative advice check', 'determine land action plan compromise granting of a tenure', 'parcel check', 'land valuation check', 'native  title  check', 'survey plan registration check', 'notify customer']",Normal
30,30,"['application  investigation  process', 'process responses of views', 'title administrative advice check', 'parcel check', 'determine land action plan compromise granting of a tenure', 'parcel check', 'parcel check', 'survey plan registration check', 'land valuation check', 'native  title  check', 'notify customer']",Anomalous
31,31,"['application  investigation  process', 'title administrative advice check', 'determine land action plan compromise granting of a tenure', 'parcel check', 'survey plan registration check', 'native  title  check', 'land valuation check', 'notify customer']",Normal
32,32,"['application  investigation  process', 'title administrative advice check', 'determine land action plan compromise granting of a tenure', 'parcel check', 'native  title  check', 'land valuation check', 'survey plan registration check', 'notify customer']",Normal
33,33,"['application  investigation  process', 'title administrative advice check', 'determine land action plan compromise granting of a tenure', 'parcel check', 'native  title  check', 'survey plan registration check', 'land valuation check', 'notify customer']",Normal
34,34,"['application  investigation  process', 'title administrative advice check', 'determine land action plan compromise granting of a tenure', 'land valuation check', 'parcel check', 'survey plan registration check', 'native  title  check', 'notify customer']",Normal
