,ID,concept:name,Status
0,0,"['verify payment', 'book seat as sold', 'send ticket by mail']",Normal
1,1,"['verify payment', 'check if ticket is already booked', 'fill request criteria', 'make ticket as available', 'make ticket as available']",Anomalous
2,2,"['verify payment', 'book seat as sold', 'send ticket by mail', 'make ticket as available', 'make a payment']",Anomalous
3,3,"['verify payment', 'book seat as sold', 'make a payment', 'send ticket by mail']",Normal
4,4,"['verify payment', 'make ticket as available', 'make a payment']",Normal
5,5,"['verify payment', 'make a payment', 'return flights according to criteria', 'make ticket as available']",Anomalous
6,6,"['verify payment', 'make a payment', 'book seat as sold', 'send ticket by mail']",Normal
7,7,"['make a payment', 'verify payment', 'choose flight', 'book seat as sold', 'send ticket by mail']",Anomalous
8,8,"['make a payment', 'verify payment', 'make ticket as available']",Normal
9,9,"['verify payment', 'book seat as sold', 'send ticket by mail', 'make a payment', 'make a payment']",Normal
10,10,"['verify payment', 'book seat as sold', 'make a payment', 'send ticket by mail', 'make a payment']",Normal
11,11,"['book seat as sold', 'verify payment', 'book seat as sold', 'make a payment', 'make a payment', 'send ticket by mail']",Anomalous
12,12,"['verify payment', 'make ticket as available', 'make a payment', 'make a payment']",Normal
13,13,"['verify payment', 'make a payment', 'make ticket as available', 'make a payment']",Normal
14,14,"['verify payment', 'make a payment', 'make a payment', 'return flights according to criteria', 'make ticket as available']",Anomalous
15,15,"['verify payment', 'reserve seat', 'make a payment', 'book seat as sold', 'send ticket by mail', 'choose seat', 'make a payment']",Anomalous
16,16,"['verify payment', 'make a payment', 'book seat as sold', 'make a payment', 'send ticket by mail']",Normal
17,17,"['verify payment', 'make a payment', 'make a payment', 'book seat as sold', 'send ticket by mail', 'make ticket as available']",Anomalous
18,18,"['make a payment', 'verify payment', 'book seat as sold', 'send ticket by mail', 'make a payment']",Normal
19,19,"['make a payment', 'verify payment', 'book seat as sold', 'make a payment', 'send ticket by mail']",Normal
20,20,"['make a payment', 'verify payment', 'make ticket as available', 'make a payment']",Normal
