,ID,concept:name,Status
0,0,['ask for advice from irsn'],Normal
1,1,"['study radiation and weather reports', 'send advice to  prefect']",Normal
2,2,"['define new alternative circulation plan', 'ask for implementation of third circulation plan', 'study radiation and weather reports', 'define circulation plan']",Anomalous
3,3,"['define alternative circulation plan', 'ask for implementation of second circulation plan']",Normal
4,4,"['analyse recommendations', 'study radiation and weather reports', 'ask for confinement and iodine treatment', 'ask for advice from irsn', 'ask for implementation of second circulation plan', 'send advice to  prefect']",Anomalous
5,5,"['analyse recommendations', 'close operations', 'ask for evacuation']",Anomalous
6,6,"['analyse recommendations', 'close operations']",Normal
7,7,"['activate crisis cell', 'define circulation plan', 'contact media to inform that pui is activated', 'ask for measurements', 'define safety perimeter', 'ask for implementation of safety perimeter', 'ask for implementation of circulation plan', 'alert field actors', 'regularly inform media and population about operations']",Normal
8,8,"['define alternative circulation plan', 'activate crisis cell', 'define circulation plan', 'contact media to inform that pui is activated', 'ask for measurements', 'define safety perimeter', 'ask for implementation of safety perimeter', 'ask for implementation of circulation plan', 'regularly inform media and population about operations', 'alert field actors', 'ask for implementation of safety perimeter']",Anomalous
9,9,"['activate crisis cell', 'define circulation plan', 'contact media to inform that pui is activated', 'ask for measurements', 'define safety perimeter', 'ask for implementation of safety perimeter', 'alert field actors', 'ask for implementation of circulation plan', 'regularly inform media and population about operations']",Normal
10,10,"['activate crisis cell', 'define circulation plan', 'contact media to inform that pui is activated', 'ask for measurements', 'define safety perimeter', 'ask for implementation of safety perimeter', 'alert field actors', 'regularly inform media and population about operations', 'ask for implementation of circulation plan']",Normal
11,11,"['activate crisis cell', 'define circulation plan', 'contact media to inform that pui is activated', 'ask for measurements', 'define safety perimeter', 'ask for implementation of safety perimeter', 'regularly inform media and population about operations', 'ask for implementation of circulation plan', 'alert field actors']",Normal
12,12,"['activate crisis cell', 'define circulation plan', 'contact media to inform that pui is activated', 'ask for measurements', 'define safety perimeter', 'ask for implementation of safety perimeter', 'regularly inform media and population about operations', 'alert field actors', 'ask for implementation of circulation plan']",Normal
13,13,"['activate crisis cell', 'define circulation plan', 'contact media to inform that pui is activated', 'ask for measurements', 'define safety perimeter', 'regularly inform media and population about operations', 'ask for implementation of safety perimeter', 'alert field actors', 'ask for implementation of circulation plan']",Normal
14,14,"['activate crisis cell', 'define circulation plan', 'contact media to inform that pui is activated', 'ask for measurements', 'define safety perimeter', 'regularly inform media and population about operations', 'ask for implementation of safety perimeter', 'ask for implementation of circulation plan', 'alert field actors']",Normal
15,15,"['activate crisis cell', 'define circulation plan', 'contact media to inform that pui is activated', 'ask for measurements', 'define safety perimeter', 'regularly inform media and population about operations', 'alert field actors', 'ask for implementation of circulation plan', 'ask for implementation of safety perimeter']",Normal
16,16,"['activate crisis cell', 'define circulation plan', 'contact media to inform that pui is activated', 'ask for measurements', 'define safety perimeter', 'regularly inform media and population about operations', 'alert field actors', 'ask for implementation of safety perimeter', 'ask for implementation of circulation plan']",Normal
17,17,"['activate crisis cell', 'define circulation plan', 'contact media to inform that pui is activated', 'ask for measurements', 'define safety perimeter', 'regularly inform media and population about operations', 'ask for implementation of circulation plan', 'alert field actors', 'ask for implementation of safety perimeter']",Normal
18,18,"['activate crisis cell', 'define circulation plan', 'contact media to inform that pui is activated', 'ask for measurements', 'define safety perimeter', 'regularly inform media and population about operations', 'ask for implementation of circulation plan', 'ask for implementation of safety perimeter', 'alert field actors']",Normal
19,19,"['activate crisis cell', 'define circulation plan', 'contact media to inform that pui is activated', 'ask for measurements', 'define safety perimeter', 'ask for implementation of circulation plan', 'ask for implementation of safety perimeter', 'alert field actors', 'regularly inform media and population about operations']",Normal
20,20,"['activate crisis cell', 'define circulation plan', 'contact media to inform that pui is activated', 'ask for measurements', 'define safety perimeter', 'ask for implementation of circulation plan', 'ask for implementation of safety perimeter', 'regularly inform media and population about operations', 'alert field actors']",Normal
21,21,"['activate crisis cell', 'define circulation plan', 'contact media to inform that pui is activated', 'ask for measurements', 'define safety perimeter', 'ask for implementation of circulation plan', 'ask for confinement and iodine treatment', 'alert field actors', 'ask for implementation of safety perimeter', 'regularly inform media and population about operations']",Anomalous
22,22,"['activate crisis cell', 'define circulation plan', 'contact media to inform that pui is activated', 'ask for measurements', 'define safety perimeter', 'define alternative circulation plan', 'ask for implementation of circulation plan', 'alert field actors', 'regularly inform media and population about operations', 'ask for implementation of safety perimeter']",Anomalous
23,23,"['activate crisis cell', 'alert field actors', 'define circulation plan', 'contact media to inform that pui is activated', 'ask for measurements', 'define safety perimeter', 'ask for implementation of circulation plan', 'regularly inform media and population about operations', 'ask for advice from irsn', 'alert field actors', 'ask for implementation of safety perimeter']",Anomalous
24,24,"['activate crisis cell', 'define circulation plan', 'contact media to inform that pui is activated', 'ask for measurements', 'define safety perimeter', 'ask for implementation of circulation plan', 'regularly inform media and population about operations', 'define alternative circulation plan', 'contact media to inform that pui is activated', 'ask for implementation of safety perimeter', 'alert field actors', 'ask for implementation of third circulation plan', 'ask for confinement and iodine treatment']",Anomalous
25,25,"['activate crisis cell', 'define circulation plan', 'contact media to inform that pui is activated', 'ask for measurements', 'define safety perimeter', 'alert field actors', 'ask for implementation of safety perimeter', 'ask for implementation of circulation plan', 'regularly inform media and population about operations']",Normal
