,ID,concept:name,Status
0,0,"['movement   speed   attacks', 'done']",Normal
1,1,"['buy extra movement', 'movement    x  speed   attacks', 'done']",Anomalous
2,2,"['Attack', 'movement     attacks', 'done']",Anomalous
3,3,"['movement   speed   attacks', 'buy extra movement', 'done']",Normal
4,4,"['movement   speed   attacks', 'Movement action', 'done']",Normal
5,5,"['movement   speed   attacks', 'Attack', 'done']",Normal
6,6,"['movement    x  speed   attacks', 'buy extra movement', 'done']",Normal
7,7,"['movement    x  speed   attacks', 'Movement action', 'done']",Normal
8,8,"['movement    x  speed   attacks', 'Attack', 'done']",Normal
9,9,"['movement     attacks', 'buy extra movement', 'done']",Normal
10,10,"['movement     attacks', 'Movement action', 'done']",Normal
11,11,"['movement     attacks', 'Attack', 'done']",Normal
12,12,"['Movement action', 'movement   speed   attacks', 'buy extra movement', 'buy extra movement', 'movement   speed   attacks', 'done']",Anomalous
13,13,"['movement   speed   attacks', 'buy extra movement', 'Movement action', 'done']",Normal
14,14,"['movement   speed   attacks', 'buy extra movement', 'Attack', 'done']",Normal
15,15,"['movement   speed   attacks', 'Movement action', 'buy extra movement', 'done']",Normal
16,16,"['movement   speed   attacks', 'Movement action', 'Movement action', 'done', 'done']",Anomalous
17,17,"['movement   speed   attacks', 'Movement action', 'Attack', 'done']",Normal
18,18,"['Attack', 'movement   speed   attacks', 'Attack', 'movement     attacks', 'movement   speed   attacks', 'buy extra movement', 'movement    x  speed   attacks', 'done', 'Attack']",Anomalous
19,19,"['movement   speed   attacks', 'Attack', 'Movement action', 'done']",Normal
20,20,"['movement   speed   attacks', 'Attack', 'Attack', 'Movement action', 'done']",Anomalous
21,21,"['movement    x  speed   attacks', 'buy extra movement', 'buy extra movement', 'done']",Normal
22,22,"['movement    x  speed   attacks', 'buy extra movement', 'Movement action', 'done']",Normal
23,23,"['movement    x  speed   attacks', 'buy extra movement', 'Attack', 'done']",Normal
24,24,"['done', 'movement    x  speed   attacks', 'movement     attacks', 'Movement action', 'buy extra movement', 'done']",Anomalous
25,25,"['movement    x  speed   attacks', 'buy extra movement', 'Attack', 'Movement action', 'Movement action', 'done']",Anomalous
26,26,"['movement    x  speed   attacks', 'Movement action', 'Attack', 'Attack', 'done']",Anomalous
27,27,"['movement    x  speed   attacks', 'Attack', 'buy extra movement', 'Attack', 'movement   speed   attacks', 'done']",Anomalous
28,28,"['movement    x  speed   attacks', 'Attack', 'Movement action', 'done']",Normal
29,29,"['movement    x  speed   attacks', 'Attack', 'Attack', 'done']",Normal
30,30,"['Movement action', 'movement     attacks', 'buy extra movement', 'buy extra movement', 'done']",Anomalous
31,31,"['movement     attacks', 'buy extra movement', 'buy extra movement', 'Movement action', 'done']",Anomalous
32,32,"['movement     attacks', 'buy extra movement', 'Attack', 'done']",Normal
33,33,"['buy extra movement', 'movement     attacks', 'Movement action', 'Attack', 'buy extra movement', 'movement    x  speed   attacks', 'Movement action', 'done']",Anomalous
34,34,"['movement     attacks', 'Movement action', 'Movement action', 'done']",Normal
35,35,"['movement     attacks', 'Movement action', 'Attack', 'done']",Normal
36,36,"['movement     attacks', 'Attack', 'buy extra movement', 'movement    x  speed   attacks', 'done']",Anomalous
37,37,"['movement     attacks', 'Attack', 'movement     attacks', 'Movement action', 'done', 'buy extra movement', 'Movement action']",Anomalous
38,38,"['movement     attacks', 'Attack', 'movement     attacks', 'Attack', 'done', 'movement     attacks', 'done']",Anomalous
39,39,"['movement   speed   attacks', 'buy extra movement', 'buy extra movement', 'buy extra movement', 'buy extra movement', 'done']",Anomalous
40,40,"['movement   speed   attacks', 'buy extra movement', 'buy extra movement', 'Movement action', 'done']",Normal
41,41,"['done', 'movement   speed   attacks', 'buy extra movement', 'buy extra movement', 'Attack', 'movement     attacks', 'done']",Anomalous
42,42,"['movement   speed   attacks', 'buy extra movement', 'Movement action', 'buy extra movement', 'done']",Normal
43,43,"['movement   speed   attacks', 'buy extra movement', 'Movement action', 'Movement action', 'done']",Normal
44,44,"['movement   speed   attacks', 'buy extra movement', 'done', 'Movement action', 'Movement action', 'Attack', 'done']",Anomalous
45,45,"['movement   speed   attacks', 'buy extra movement', 'Attack', 'buy extra movement', 'done']",Normal
46,46,"['movement   speed   attacks', 'buy extra movement', 'Attack', 'Movement action', 'done']",Normal
47,47,"['movement   speed   attacks', 'buy extra movement', 'Attack', 'Attack', 'done']",Normal
48,48,"['movement   speed   attacks', 'Movement action', 'buy extra movement', 'buy extra movement', 'done']",Normal
49,49,"['movement   speed   attacks', 'Movement action', 'buy extra movement', 'Movement action', 'done']",Normal
50,50,"['movement   speed   attacks', 'Movement action', 'buy extra movement', 'Attack', 'done']",Normal
51,51,"['movement   speed   attacks', 'Movement action', 'done', 'Movement action', 'buy extra movement', 'done']",Anomalous
52,52,"['movement   speed   attacks', 'movement     attacks', 'movement   speed   attacks', 'Movement action', 'Movement action', 'Movement action', 'done']",Anomalous
53,53,"['movement   speed   attacks', 'Movement action', 'Movement action', 'Attack', 'done']",Normal
54,54,"['movement   speed   attacks', 'Movement action', 'Attack', 'buy extra movement', 'done']",Normal
55,55,"['movement     attacks', 'movement   speed   attacks', 'Movement action', 'Attack', 'Movement action', 'done']",Anomalous
56,56,"['movement   speed   attacks', 'Movement action', 'Attack', 'Attack', 'done']",Normal
57,57,"['movement   speed   attacks', 'Attack', 'buy extra movement', 'buy extra movement', 'done']",Normal
